,Product Name,Product Price,Rating,Number of Reviews,Product URL,Product Description,Manufacturer
0,HOXSURY Sling Backpack USB Anti-Theft Waterproof Chest Daypack Casual Shoulder Bag,"1,199",4.4 out of 5 stars,Price and other details may vary based on product size and colour.,/Crossbody-Waterproof-Daypack-Charging-Locomotive/dp/B0BCQ762R6,,
1,HOXSURY Sling Backpack USB Anti-Theft Waterproof Chest Daypack Casual Shoulder Bag,"1,199",4.4 out of 5 stars,82,/Crossbody-Waterproof-Daypack-Charging-Locomotive/dp/B0BCQ762R6,,
2,,,,,/Crossbody-Waterproof-Daypack-Charging-Locomotive/dp/B0BCQ762R6,,
3,HOXSURY Sling Backpack USB Anti-Theft Waterproof Chest Daypack Casual Shoulder Bag,"1,199",4.4 out of 5 stars,82,/Crossbody-Waterproof-Daypack-Charging-Locomotive/dp/B0BCQ762R6,,
4,,"1,199",,M.R.P:,/Crossbody-Waterproof-Daypack-Charging-Locomotive/dp/B0BCQ762R6,,
5,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),698,3.9 out of 5 stars,"1,372",/Half-Moon-Resistant-Backpack-Compartment/dp/B09GG53CSL,,
6,,,,,/Half-Moon-Resistant-Backpack-Compartment/dp/B09GG53CSL,,
7,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),698,3.9 out of 5 stars,"1,372",/Half-Moon-Resistant-Backpack-Compartment/dp/B09GG53CSL,,
8,,698,,M.R.P:,/gp/goldbox/,,
9,KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"2,067",4.4 out of 5 stars,"11,412",/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2,,
10,,,,,/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2,,
11,KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"2,067",4.4 out of 5 stars,"11,412",/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2,,
12,,"2,067",,M.R.P:,/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2,,
13,Skybags Kick Unisex Adjustable Strap Polyester Laptop Backpack,"1,360",4.0 out of 5 stars,70,/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ763F7Y,,
14,,,,,/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ763F7Y,,
15,Skybags Kick Unisex Adjustable Strap Polyester Laptop Backpack,"1,360",4.0 out of 5 stars,70,/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ763F7Y,,
16,,"1,360",,M.R.P:,/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ763F7Y,,
17,F Gear String 11 Ltrs Nylon Black Gym Bag,190,4.0 out of 5 stars,593,/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,,
18,,,,,/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,,
19,F Gear String 11 Ltrs Nylon Black Gym Bag,190,4.0 out of 5 stars,593,/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,,
20,,190,,M.R.P:,/gp/goldbox/,,
21,DEIN KLEIDER Men's Nylon Messenger Bag,349,4.0 out of 5 stars,"5,289",/gp/bestsellers/luggage/2917442031/ref=sr_bs_5_2917442031_1,Amazon.in Bestsellers: The most popular items in Messenger & Sling Bags,
22,,,,,/gp/bestsellers/luggage/2917442031/ref=sr_bs_5_2917442031_1,Amazon.in Bestsellers: The most popular items in Messenger & Sling Bags,
23,DEIN KLEIDER Men's Nylon Messenger Bag,349,4.0 out of 5 stars,"5,289",/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M,,
24,,349,,M.R.P:,/gp/goldbox/,,
25,"Delrin LED Backpack with APP Working, Laptop Bag Motorcycle Riding Backpack Waterproof Backpack with Programmable and Color Screen, Travel Backpack 25 ltrs (48 Cms)","19,799",,M.R.P:,/Delrin-Backpack-Motorcycle-Waterproof-Programmable/dp/B0CBSGG3LX,,
26,,,,,/Delrin-Backpack-Motorcycle-Waterproof-Programmable/dp/B0CBSGG3LX,,
27,"Delrin LED Backpack with APP Working, Laptop Bag Motorcycle Riding Backpack Waterproof Backpack with Programmable and Color Screen, Travel Backpack 25 ltrs (48 Cms)","19,799",,M.R.P:,/Delrin-Backpack-Motorcycle-Waterproof-Programmable/dp/B0CBSGG3LX,,
28,,"19,799",,M.R.P:,/Delrin-Backpack-Motorcycle-Waterproof-Programmable/dp/B0CBSGG3LX,,
29,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","2,960",4.4 out of 5 stars,"2,016",/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3,,
30,,,,,/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3,,
31,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","2,960",4.4 out of 5 stars,"2,016",/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3,,
32,,"2,960",,M.R.P:,/gp/goldbox/,,
33,Gear Galaxy Universe 30 L Water Resistant School Bag/Kids Bag/Casual Backpack/Daypack/College Bag for Boys/Girls/Men/Women (Blue),"1,095",3.7 out of 5 stars,31,/Gear-Universe-Resistant-Backpack-Daypack/dp/B0BZWLBDV3,,
34,,,,,/Gear-Universe-Resistant-Backpack-Daypack/dp/B0BZWLBDV3,,
35,Gear Galaxy Universe 30 L Water Resistant School Bag/Kids Bag/Casual Backpack/Daypack/College Bag for Boys/Girls/Men/Women (Blue),"1,095",3.7 out of 5 stars,31,/Gear-Universe-Resistant-Backpack-Daypack/dp/B0BZWLBDV3,,
36,,"1,095",,M.R.P:,/gp/goldbox/,,
37,COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre College Bag,"1,409",4.2 out of 5 stars,"1,422",/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,,
38,,,,,/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,,
39,COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre College Bag,"1,409",4.2 out of 5 stars,"1,422",/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,,
40,,"1,409",,M.R.P:,/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,,
41,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,699,4.1 out of 5 stars,"4,607",/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,,
42,,,,,/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,,
43,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,699,4.1 out of 5 stars,"4,607",/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,,
